"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"212350097","2001","1","regular","2001-08-23T23:00:00.000Z","","true","false","false","38129","3873","Papa John's Cardinal Stadium","97","Louisville","Conference USA","fbs","45","","","1624","1645","166","New Mexico State","Sun Belt","fbs","24","","","1334","1313","","",""
"63770","2001","1","regular","2001-08-25T04:00:00.000Z","","true","false","","","","","158","Nebraska","Big 12","fbs","21","","","1970","1982","2628","TCU","Conference USA","fbs","7","","","1781","1769","","",""
"212370275","2001","1","regular","2001-08-25T18:00:00.000Z","","true","false","true","76740","347","Camp Randall Stadium","275","Wisconsin","Big Ten","fbs","26","","","1699","1698","258","Virginia","ACC","fbs","17","","","1456","1457","","",""
"212370252","2001","1","regular","2001-08-25T20:30:00.000Z","","true","false","true","40008","3801","LaVell Edwards Stadium","252","BYU","Mountain West","fbs","70","","","1525","1613","2655","Tulane","Conference USA","fbs","35","","","1446","1358","","",""
"212370201","2001","1","regular","2001-08-25T23:45:00.000Z","","true","false","false","75423","3835","Gaylord Family Oklahoma Memorial Stadium","201","Oklahoma","Big 12","fbs","10","","","1911","1902","153","North Carolina","ACC","fbs","0","","","1514","1523","","",""
"212380183","2001","1","regular","2001-08-26T18:00:00.000Z","","true","false","false","41517","","","183","Syracuse","Big East","fbs","7","","","1629","1624","59","Georgia Tech","ACC","fbs","13","","","1711","1716","","",""
"212380038","2001","1","regular","2001-08-27T00:00:00.000Z","","true","false","false","47762","3726","Folsom Field","38","Colorado","Big 12","fbs","22","","","1572","1569","278","Fresno State","Western Athletic","fbs","24","","","1573","1576","","",""
"213520036","2001","1","postseason","2001-12-19T01:00:00.000Z","","true","false","false","27004","3493","Mercedes-Benz Superdome","36","Colorado State","Mountain West","fbs","45","","","1550","1592","249","North Texas","Sun Belt","fbs","20","","","1357","1315","","",""
"213530276","2001","1","postseason","2001-12-20T01:00:00.000Z","","true","false","false","40139","3797","Ladd Peebles Stadium","276","Marshall","Mid-American","fbs","64","","","1647","1648","151","East Carolina","Conference USA","fbs","61","","","1668","1667","","",""
"213540152","2001","1","postseason","2001-12-21T00:30:00.000Z","","true","false","false","28562","","","152","NC State","ACC","fbs","19","","","1641","1608","221","Pittsburgh","Big East","fbs","34","","","1661","1694","","",""
"213590254","2001","1","postseason","2001-12-25T20:30:00.000Z","","true","false","true","30894","3914","Sam Boyd Stadium","254","Utah","Mountain West","fbs","10","","","1733","1737","30","USC","Pac-10","fbs","6","","","1767","1763","","",""
