"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores[0]","Home Line Scores[1]","Home Line Scores[2]","Home Line Scores[3]","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores[0]","Away Line Scores[1]","Away Line Scores[2]","Away Line Scores[3]","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"272422433","2007","1","regular","2007-08-30T23:00:00.000Z","","true","false","false","22022","3817","Malone Stadium","2433","Louisiana Monroe","Sun Belt","fbs","17","10","7","0","0","","1371","1345","202","Tulsa","Conference USA","fbs","35","14","0","14","7","","1544","1570","","",""
"272422050","2007","1","regular","2007-08-30T23:00:00.000Z","","true","false","true","7885","3919","Scheumann Stadium","2050","Ball State","Mid-American","fbs","13","3","0","3","7","","1443","1440","193","Miami (OH)","Mid-American","fbs","14","0","7","0","7","","1399","1402","","",""
"272422132","2007","1","regular","2007-08-30T23:00:00.000Z","false","true","false","false","20223","3854","Nippert Stadium","2132","Cincinnati","Big East","fbs","59","6","13","20","20","","","","2546","Southeast Missouri State","OVC","fcs","3","0","3","0","0","","","","","",""
"272420164","2007","1","regular","2007-08-30T23:00:00.000Z","","true","false","false","43091","3754","High Point Solutions Stadium","164","Rutgers","Big East","fbs","38","21","7","7","3","","1678","1720","2084","Buffalo","Mid-American","fbs","3","0","0","3","0","","1222","1180","","",""
"272420097","2007","1","regular","2007-08-30T23:30:00.000Z","false","true","false","false","0","3873","Papa John's Cardinal Stadium","97","Louisville","Big East","fbs","73","28","21","21","3","","","","93","Murray State","OVC","fcs","10","7","3","0","0","","","","","",""
"272420066","2007","1","regular","2007-08-31T00:00:00.000Z","","true","false","false","47313","3772","Jack Trice Stadium","66","Iowa State","Big 12","fbs","14","0","7","7","0","","1431","1404","2309","Kent State","Mid-American","fbs","23","0","9","14","0","","1334","1361","","",""
"272420166","2007","1","regular","2007-08-31T00:00:00.000Z","false","true","false","false","12682","3601","Aggie Memorial Stadium","166","New Mexico State","Western Athletic","fbs","35","7","14","14","0","","","","2545","Southeastern Louisiana","Southland","fcs","14","7","0","0","7","","","","","",""
"272420344","2007","1","regular","2007-08-31T00:00:00.000Z","","true","false","true","50112","3693","Davis Wade Stadium","344","Mississippi State","SEC","fbs","0","0","0","0","0","","1404","1333","99","LSU","SEC","fbs","45","3","14","14","14","","1885","1956","","",""
"272420328","2007","1","regular","2007-08-31T00:05:00.000Z","","true","false","false","15102","3905","Romney Stadium","328","Utah State","Western Athletic","fbs","16","0","10","0","6","","1078","1077","2439","UNLV","Mountain West","fbs","23","3","0","6","14","","1235","1236","","",""
"272420068","2007","1","regular","2007-08-31T01:05:00.000Z","false","true","false","false","30278","3653","Albertsons Stadium","68","Boise State","Western Athletic","fbs","56","28","21","7","0","","","","2692","Weber State","Big Sky","fcs","7","0","0","7","0","","","","","",""
