"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"57196","1991","1","regular","1991-08-28T00:00:00.000Z","","true","false","","","","","213","Penn State","FBS Independents","fbs","34","","","1714","1739","59","Georgia Tech","ACC","fbs","22","","","1740","1715","","",""
"57197","1991","1","regular","1991-08-29T00:00:00.000Z","","true","false","","","","","52","Florida State","FBS Independents","fbs","44","","","1909","1918","252","BYU","Western Athletic","fbs","28","","","1623","1614","","",""
"57214","1991","1","regular","1991-08-31T00:00:00.000Z","","true","false","true","","","","164","Rutgers","Big East","fbs","20","","","1325","1340","103","Boston College","Big East","fbs","13","","","1414","1399","","",""
"57213","1991","1","regular","1991-08-31T00:00:00.000Z","","true","false","true","","","","277","West Virginia","Big East","fbs","3","","","1521","1429","221","Pittsburgh","Big East","fbs","34","","","1489","1581","","",""
"57210","1991","1","regular","1991-08-31T00:00:00.000Z","","true","false","true","","","","193","Miami (OH)","Mid-American","fbs","15","","","1363","1381","2050","Ball State","Mid-American","fbs","7","","","1463","1445","","",""
"57204","1991","1","regular","1991-08-31T00:00:00.000Z","","true","false","true","","","","2751","Wyoming","Western Athletic","fbs","17","","","1507","1489","62","Hawai'i","Western Athletic","fbs","32","","","1685","1703","","",""
"57201","1991","1","regular","1991-08-31T00:00:00.000Z","","true","false","true","","","","2117","Central Michigan","Mid-American","fbs","17","","","1558","1541","195","Ohio","Mid-American","fbs","17","","","1165","1182","","",""
"57200","1991","1","regular","1991-08-31T00:00:00.000Z","","true","false","true","","","","189","Bowling Green","Mid-American","fbs","17","","","1349","1369","2199","Eastern Michigan","Mid-American","fbs","6","","","1347","1327","","",""
"57202","1991","1","regular","1991-08-31T00:00:00.000Z","","true","false","","","","","36","Colorado State","Western Athletic","fbs","38","","","1569","1578","2032","Arkansas State","FBS Independents","fbs","24","","","1337","1328","","",""
"57199","1991","1","regular","1991-08-31T00:00:00.000Z","","true","false","","","","","2","Auburn","SEC","fbs","32","","","1675","1687","290","Georgia Southern","","","17","","","1453","1441","","",""
